Age,Education_Years,Gender,Hours_worked_Perweek,Income
38,9,Male,40,<=50K
37,14,Female,40,<=50K
31,14,Female,50,>50K
30,13,Male,40,>50K
40,11,Male,40,>50K
32,9,Male,40,<=50K
40,16,Male,60,>50K
43,7,Male,40,<=50K
19,9,Male,40,<=50K
49,9,Male,40,<=50K
45,13,Male,40,<=50K
48,7,Male,40,<=50K
31,10,Male,38,>50K
53,13,Male,40,<=50K
25,9,Male,35,<=50K
44,14,Female,40,<=50K
25,10,Female,40,<=50K
50,13,Male,55,>50K
46,3,Male,40,<=50K
30,9,Male,40,<=50K
48,9,Male,40,<=50K
36,9,Male,40,<=50K
49,10,Male,50,>50K
31,13,Female,40,<=50K
79,10,Male,20,<=50K
67,6,Male,2,<=50K
18,9,Male,30,<=50K
59,9,Male,48,<=50K
49,9,Male,40,>50K
43,16,Female,50,>50K
28,10,Female,25,<=50K
29,10,Male,50,<=50K
48,12,Female,40,<=50K
44,13,Male,60,>50K
29,9,Male,40,<=50K
30,7,Male,40,<=50K
24,13,Male,40,<=50K
28,10,Female,25,<=50K
56,10,Male,50,<=50K
22,9,Male,41,<=50K
30,13,Male,40,<=50K
47,13,Female,40,>50K
35,9,Male,40,<=50K
24,9,Female,40,<=50K
46,12,Female,36,<=50K
27,11,Female,35,<=50K
61,9,Male,40,<=50K
45,11,Female,40,>50K
22,10,Male,24,<=50K
43,10,Female,40,<=50K
33,13,Female,40,<=50K
48,9,Male,46,<=50K
29,9,Male,60,<=50K
25,9,Female,40,<=50K
45,14,Male,40,>50K
46,14,Male,40,<=50K
27,9,Male,40,<=50K
27,13,Male,50,<=50K
21,9,Male,40,<=50K
33,13,Male,65,<=50K
30,10,Male,45,<=50K
34,9,Male,40,<=50K
31,14,Female,50,<=50K
24,10,Male,40,<=50K
41,13,Male,24,<=50K
40,14,Female,55,>50K
26,14,Female,40,<=50K
42,10,Female,40,<=50K
36,13,Male,36,>50K
17,7,Female,12,<=50K
35,10,Female,40,<=50K
37,13,Male,60,>50K
45,13,Male,55,<=50K
64,2,Male,40,<=50K
53,1,Female,35,<=50K
66,9,Male,50,<=50K
35,7,Male,40,<=50K
33,10,Female,40,<=50K
40,10,Female,38,<=50K
23,9,Male,40,<=50K
24,12,Male,50,<=50K
56,9,Male,35,<=50K
40,12,Male,60,>50K
42,13,Female,40,<=50K
58,10,Male,20,<=50K
32,9,Female,30,<=50K
36,13,Female,40,<=50K
59,10,Male,40,<=50K
19,10,Male,24,<=50K
33,9,Female,40,>50K
50,14,Male,98,<=50K
43,9,Male,40,<=50K
25,10,Female,40,<=50K
42,10,Male,40,>50K
21,9,Male,40,<=50K
50,10,Male,45,<=50K
36,13,Male,45,<=50K
21,10,Male,45,<=50K
37,13,Female,60,<=50K
38,9,Male,80,<=50K
31,9,Male,45,>50K
43,9,Female,40,<=50K
35,12,Male,40,>50K
34,14,Male,35,>50K
22,10,Male,15,<=50K
22,3,Female,40,<=50K
39,9,Male,40,<=50K
29,7,Female,40,<=50K
23,11,Female,15,<=50K
66,9,Male,55,<=50K
47,11,Male,40,<=50K
17,3,Male,48,<=50K
19,9,Male,30,<=50K
38,11,Male,40,>50K
22,10,Female,40,<=50K
30,11,Female,40,<=50K
33,13,Male,40,>50K
46,7,Male,30,<=50K
65,7,Male,40,<=50K
26,5,Male,40,<=50K
43,13,Male,45,<=50K
28,9,Male,40,<=50K
57,13,Female,45,>50K
17,7,Male,10,<=50K
44,9,Male,40,<=50K
23,10,Male,40,<=50K
54,9,Male,40,<=50K
46,10,Female,40,<=50K
29,9,Male,40,<=50K
19,9,Female,40,<=50K
46,12,Male,40,<=50K
44,10,Male,40,<=50K
25,13,Male,55,>50K
28,10,Female,40,<=50K
28,4,Male,40,<=50K
46,9,Male,25,<=50K
41,10,Female,24,<=50K
46,16,Male,60,>50K
52,2,Male,40,<=50K
34,9,Female,40,<=50K
32,13,Female,40,>50K
25,9,Male,60,<=50K
63,9,Male,40,>50K
17,7,Male,40,<=50K
27,10,Male,40,<=50K
34,10,Female,40,<=50K
29,13,Male,40,<=50K
44,10,Male,40,>50K
44,9,Female,40,<=50K
17,7,Female,5,<=50K
60,9,Male,40,>50K
40,11,Male,40,>50K
23,9,Male,60,<=50K
54,9,Male,40,<=50K
24,13,Female,20,<=50K
38,10,Male,40,<=50K
60,10,Male,40,>50K
30,9,Male,60,<=50K
17,5,Male,6,<=50K
23,9,Female,35,<=50K
28,13,Male,20,<=50K
25,10,Female,20,<=50K
45,13,Female,40,<=50K
46,9,Male,40,<=50K
33,13,Male,20,<=50K
23,3,Male,40,<=50K
23,9,Male,40,<=50K
58,10,Female,42,<=50K
19,10,Male,8,<=50K
39,9,Female,40,<=50K
32,11,Male,45,<=50K
57,11,Female,38,<=50K
21,10,Female,35,<=50K
50,9,Male,50,>50K
44,10,Male,58,>50K
74,10,Female,9,<=50K
44,7,Female,46,<=50K
41,12,Female,50,>50K
57,2,Female,30,<=50K
34,9,Female,40,<=50K
30,10,Female,40,<=50K
32,9,Female,45,<=50K
21,9,Male,36,<=50K
36,9,Female,40,<=50K
33,11,Female,40,>50K
31,9,Female,20,<=50K
28,13,Male,55,<=50K
24,9,Female,40,<=50K
43,14,Male,45,<=50K
47,14,Male,42,<=50K
17,7,Male,12,<=50K
29,13,Male,40,>50K
58,13,Female,40,<=50K
57,9,Male,40,>50K
31,13,Male,40,<=50K
18,7,Male,40,<=50K
42,9,Male,40,<=50K
31,13,Male,40,>50K
23,10,Female,25,<=50K
49,13,Female,45,<=50K
60,4,Female,40,<=50K
48,9,Female,37,<=50K
36,9,Male,40,<=50K
24,9,Male,40,<=50K
27,13,Female,20,<=50K
50,9,Male,32,<=50K
23,13,Female,20,<=50K
29,11,Male,55,<=50K
34,9,Male,45,>50K
49,13,Male,26,>50K
43,10,Male,60,>50K
19,9,Female,14,<=50K
47,3,Male,50,<=50K
60,9,Male,40,<=50K
31,10,Male,45,<=50K
71,9,Male,15,<=50K
20,10,Male,20,<=50K
38,10,Female,45,<=50K
70,5,Female,15,<=50K
43,9,Male,40,>50K
27,10,Male,40,<=50K
42,12,Female,40,>50K
20,7,Female,40,<=50K
17,7,Female,20,<=50K
50,9,Male,50,>50K
32,10,Male,40,<=50K
29,9,Male,48,<=50K
23,10,Male,40,<=50K
66,4,Male,4,<=50K
26,9,Male,30,<=50K
42,10,Male,50,<=50K
25,12,Male,45,<=50K
30,13,Female,40,<=50K
31,13,Female,40,<=50K
46,16,Female,65,>50K
45,10,Male,40,<=50K
28,13,Male,40,<=50K
40,11,Male,40,<=50K
33,9,Male,40,<=50K
34,13,Male,45,>50K
29,13,Male,40,<=50K
43,13,Male,40,>50K
31,9,Male,40,<=50K
55,10,Female,40,<=50K
45,10,Female,40,<=50K
43,13,Male,50,<=50K
19,10,Female,25,<=50K
26,11,Male,40,<=50K
55,9,Male,40,>50K
46,13,Male,37,<=50K
58,6,Male,40,<=50K
27,11,Male,38,<=50K
46,9,Female,40,>50K
59,9,Female,38,>50K
51,13,Male,55,>50K
22,10,Female,30,<=50K
26,10,Female,38,<=50K
37,11,Female,24,>50K
36,10,Female,40,<=50K
54,10,Male,40,<=50K
40,11,Male,50,>50K
42,10,Female,38,<=50K
59,9,Male,16,<=50K
41,13,Male,40,<=50K
60,9,Male,60,>50K
25,9,Male,40,<=50K
43,12,Male,40,<=50K
31,9,Female,38,<=50K
50,14,Male,40,<=50K
20,9,Male,30,<=50K
43,10,Male,45,<=50K
47,9,Female,75,<=50K
64,9,Male,45,<=50K
31,14,Female,46,<=50K
32,9,Male,60,<=50K
39,9,Female,24,<=50K
42,7,Male,15,<=50K
73,9,Male,40,<=50K
25,9,Male,40,<=50K
63,9,Male,6,<=50K
51,10,Male,40,>50K
43,10,Male,40,<=50K
39,13,Male,40,<=50K
26,11,Female,55,<=50K
48,16,Male,50,>50K
59,9,Male,40,>50K
18,7,Female,20,<=50K
28,10,Male,70,<=50K
21,6,Male,40,<=50K
29,13,Male,40,<=50K
71,14,Male,40,>50K
41,13,Male,60,>50K
39,9,Male,40,>50K
32,13,Male,40,>50K
33,10,Female,60,<=50K
33,10,Male,60,<=50K
48,10,Female,30,<=50K
37,13,Male,50,>50K
47,10,Male,55,<=50K
28,9,Male,40,<=50K
22,9,Female,40,<=50K
46,9,Female,38,<=50K
37,9,Male,10,<=50K
38,10,Male,44,<=50K
23,9,Male,40,<=50K
67,9,Male,40,>50K
23,10,Male,25,<=50K
38,10,Female,40,<=50K
37,9,Male,40,<=50K
33,2,Female,40,<=50K
51,1,Male,40,<=50K
37,9,Male,99,>50K
33,9,Male,30,<=50K
35,9,Male,40,<=50K
20,9,Male,40,<=50K
36,13,Female,45,>50K
44,9,Female,40,>50K
18,9,Female,20,<=50K
44,10,Male,70,>50K
42,12,Male,40,>50K
32,13,Male,70,<=50K
20,9,Female,20,<=50K
48,13,Male,40,>50K
28,13,Female,35,<=50K
44,9,Male,70,<=50K
40,14,Male,35,>50K
49,9,Female,44,<=50K
60,9,Male,42,<=50K
41,9,Female,35,<=50K
51,10,Female,40,<=50K
50,9,Male,30,<=50K
56,9,Male,55,>50K
40,10,Male,40,<=50K
50,16,Male,65,>50K
31,9,Male,16,<=50K
39,9,Male,40,>50K
51,9,Female,40,<=50K
42,10,Male,44,>50K
33,11,Female,40,>50K
19,9,Male,30,<=50K
42,9,Female,30,<=50K
56,9,Male,50,<=50K
48,6,Female,40,<=50K
20,12,Male,20,<=50K
76,4,Male,2,<=50K
37,9,Male,75,<=50K
90,9,Female,40,<=50K
44,13,Male,60,>50K
64,12,Female,20,<=50K
36,13,Male,50,>50K
30,13,Male,40,>50K
32,13,Male,40,<=50K
49,14,Male,40,>50K
61,9,Male,40,<=50K
49,10,Male,80,>50K
36,8,Male,40,<=50K
22,13,Female,20,<=50K
48,16,Female,46,>50K
27,13,Female,40,<=50K
43,11,Female,40,>50K
58,9,Male,60,<=50K
30,11,Male,40,<=50K
42,10,Male,52,>50K
44,13,Male,50,>50K
21,10,Male,40,<=50K
19,9,Female,40,<=50K
68,4,Male,8,<=50K
41,13,Male,50,<=50K
31,13,Male,47,<=50K
41,11,Male,55,<=50K
37,13,Male,38,<=50K
60,11,Male,70,>50K
58,13,Female,40,>50K
45,9,Female,40,<=50K
48,10,Female,35,<=50K
63,9,Male,40,<=50K
30,10,Female,40,<=50K
37,11,Female,38,<=50K
46,14,Male,45,>50K
41,2,Male,35,<=50K
59,9,Female,40,<=50K
33,14,Male,44,>50K
61,9,Male,35,>50K
40,10,Female,39,<=50K
43,9,Male,40,<=50K
28,14,Female,50,>50K
44,11,Male,40,<=50K
54,12,Male,40,>50K
65,13,Male,20,>50K
40,9,Male,40,<=50K
25,14,Male,99,>50K
58,10,Male,40,>50K
47,9,Female,40,<=50K
40,13,Female,45,>50K
44,9,Male,40,<=50K
65,9,Male,30,<=50K
51,11,Male,40,<=50K
28,13,Male,40,<=50K
51,12,Male,60,<=50K
50,9,Male,40,<=50K
37,13,Male,35,<=50K
61,14,Male,40,>50K
22,10,Male,30,<=50K
37,10,Male,62,<=50K
20,10,Male,16,<=50K
33,9,Female,41,<=50K
45,9,Male,40,>50K
55,9,Female,40,<=50K
36,13,Male,60,>50K
75,15,Male,35,<=50K
27,13,Female,40,<=50K
