STATEFIPS,STATE,zipcode,Returns_pct1,Returns_pct2,Returns_pct3,Returns_pct4,Returns_pct5,Returns_pct6,total
21,KY,40003,34.48,25.29,14.94,12.64,12.64,0,870
21,KY,40004,36.6,26.94,14.85,9.59,10.02,1.99,14070
21,KY,40006,36.79,25,16.51,10.38,10.38,0.94,2120
21,KY,40007,41.67,33.33,0,25,0,0,120
21,KY,40008,36.52,26.4,15.73,10.67,10.67,0,1780
21,KY,40009,42.11,28.95,15.79,13.16,0,0,380
21,KY,40010,31.25,12.5,9.38,9.38,28.13,9.38,320
21,KY,40011,36.7,26.61,16.51,10.09,10.09,0,1090
21,KY,40012,38.46,30.77,23.08,0,7.69,0,260
21,KY,40013,29.14,23.38,16.91,13.67,15.11,1.8,2780
21,KY,40014,27.59,17.63,12.24,10.48,23.13,8.92,9640
21,KY,40019,40.94,28.65,14.62,8.19,7.6,0,1710
21,KY,40022,32.65,16.33,10.2,14.29,18.37,8.16,490
21,KY,40023,25,12.89,11.33,11.33,28.13,11.33,2560
21,KY,40026,27.59,12.64,9.58,11.11,24.9,14.18,2610
21,KY,40031,31.14,20.9,14,10.87,18.7,4.39,9570
21,KY,40033,40.56,29.35,13.46,8.04,7.29,1.31,5350
21,KY,40036,40,40,20,0,0,0,100
21,KY,40037,36.15,28.46,17.69,10,7.69,0,1300
21,KY,40040,45.45,22.73,13.64,18.18,0,0,220
21,KY,40041,23.53,11.76,29.41,0,35.29,0,170
21,KY,40045,39.55,24.63,14.93,11.19,9.7,0,1340
21,KY,40046,33.33,25.64,16.67,11.54,12.82,0,780
21,KY,40047,28.82,23.31,16.44,13.15,16.54,1.74,10340
21,KY,40050,38.57,30,12.86,10,8.57,0,700
21,KY,40051,39.11,27.72,14.85,10.89,6.44,0.99,2020
21,KY,40052,42.31,26.92,19.23,11.54,0,0,260
21,KY,40055,34.38,19.79,14.58,12.5,18.75,0,960
21,KY,40056,29.59,19.53,14.2,10.06,18.93,7.69,1690
21,KY,40057,38.51,29.05,14.86,8.78,8.78,0,1480
21,KY,40059,24.29,10.07,8.97,7.66,23.63,25.38,9140
21,KY,40060,40.82,26.53,16.33,10.2,6.12,0,490
21,KY,40062,40,33.33,26.67,0,0,0,150
21,KY,40065,34.65,26.7,14.37,9.7,12.18,2.41,13710
21,KY,40067,31.85,18.55,12.9,9.68,17.34,9.68,2480
21,KY,40068,31.4,21.49,14.88,10.74,16.53,4.96,1210
21,KY,40069,38.22,28.8,13.61,9.69,8.12,1.57,3820
21,KY,40070,37.5,29.17,16.67,8.33,8.33,0,240
21,KY,40071,30.52,21.06,15.62,12.75,17.91,2.15,6980
21,KY,40075,36,26,18,10,10,0,500
21,KY,40076,32.52,25.2,17.07,12.2,11.38,1.63,1230
21,KY,40077,30,26.67,16.67,10,16.67,0,300
21,KY,40078,41.41,29.29,14.14,8.08,7.07,0,990
21,KY,40104,41.3,28.26,15.22,8.7,6.52,0,460
21,KY,40107,34.65,27.72,15.84,10.89,8.91,1.98,1010
21,KY,40108,34.19,24.63,15.44,11.76,12.5,1.47,5440
21,KY,40109,33.07,25.2,17.32,11.02,13.39,0,1270
21,KY,40111,43.1,25.86,15.52,8.62,6.9,0,580
21,KY,40115,44.83,24.14,17.24,13.79,0,0,290
21,KY,40117,36.8,26.4,15.2,11.2,10.4,0,1250
21,KY,40118,41.95,31.29,14.06,7.03,5.67,0,4410
21,KY,40119,45.57,24.05,13.92,7.59,8.86,0,790
21,KY,40121,25.48,28.57,21.62,13.13,11.2,0,2590
21,KY,40140,40.63,28.13,18.75,6.25,6.25,0,320
21,KY,40142,35.05,27.84,15.46,9.28,12.37,0,970
21,KY,40143,38.79,26.29,15.09,8.62,9.91,1.29,2320
21,KY,40144,43.24,24.32,16.22,8.11,8.11,0,740
21,KY,40145,50,25,12.5,12.5,0,0,320
21,KY,40146,42.67,28.67,14,8,5.33,1.33,1500
21,KY,40150,36.82,28.86,14.43,10.95,8.96,0,2010
21,KY,40152,38.71,22.58,12.9,12.9,12.9,0,310
21,KY,40155,57.89,23.68,13.16,5.26,0,0,380
21,KY,40157,39.53,23.26,16.28,11.63,9.3,0,430
21,KY,40160,43.95,29,13.28,7.81,5.47,0.49,10240
21,KY,40162,31.84,21.72,15.73,14.23,15.36,1.12,2670
21,KY,40165,33.98,25.63,14.95,11.35,12.63,1.46,16390
21,KY,40170,54.55,18.18,27.27,0,0,0,110
21,KY,40171,60,0,20,20,0,0,100
21,KY,40175,33.96,25.94,16.51,11.79,10.69,1.1,6360
21,KY,40176,37.5,27.08,14.58,10.42,10.42,0,480
21,KY,40177,41.54,30.77,15.38,6.15,6.15,0,650
21,KY,40178,37.5,25,18.75,18.75,0,0,160
21,KY,40202,49.08,21.56,9.63,4.13,7.8,7.8,2180
21,KY,40203,63.9,24.79,6.16,2.58,2.15,0.43,6980
21,KY,40204,32.02,28.19,15.28,7.77,10.67,6.06,7590
21,KY,40205,25.57,19.22,14.65,10.67,20.07,9.82,11810
21,KY,40206,31.74,28.12,14.87,7.82,11.53,5.91,10490
21,KY,40207,26.03,19.77,13.2,9.73,18.64,12.63,15830
21,KY,40208,58.56,27.19,7.03,3.04,3.04,1.14,5260
21,KY,40209,46.15,34.62,11.54,7.69,0,0,260
21,KY,40210,62.13,29.07,5.81,1.83,1.16,0,6020
21,KY,40211,59.77,29.11,6.96,2.49,1.66,0,9620
21,KY,40212,61.28,28.09,6.84,2.33,1.46,0,6870
21,KY,40213,42.94,31.18,12.59,6.12,6,1.18,8500
21,KY,40214,44.77,31.1,10.64,6.15,6.51,0.83,21800
21,KY,40215,54.99,31.75,8.5,3.06,1.7,0,8820
21,KY,40216,42.42,32.99,13,6.55,4.74,0.29,20460
21,KY,40217,36.73,31.48,15.59,8.64,6.94,0.62,6480
21,KY,40218,44.92,33,11.86,5.43,4.48,0.32,15850
21,KY,40219,43.23,33.8,12.45,5.83,4.43,0.26,19200
21,KY,40220,32.39,27.32,16.77,9.91,11.76,1.84,17350
21,KY,40222,26.71,23.69,14.02,10.12,16.42,9.05,11270
21,KY,40223,27.72,20.02,14.37,10.27,18.48,9.15,11690
21,KY,40228,31.98,27.23,16.61,11.19,11.98,1.02,8850
